gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
2022,G17003106809002,449,430,19,0.04232,1
2116,G17003100310003,1347,1060,287,0.21307,7
1502,G17003106308002,2544,1252,1292,0.50786,4
382,G17003102513004,825,823,2,0.00242,5
335,G17003106111003,1250,640,610,0.488,1
838,G17003102307002,1212,762,450,0.37129,4
805,G17003101701001,1871,1151,720,0.38482,9
1777,G17003101907023,1978,1270,708,0.35794,2
1388,G17003107608012,1838,682,1156,0.62894,163
815,G17003102001003,2202,1471,731,0.33197,42
2267,G17003100629003,1615,1513,102,0.06316,4
833,G17003108311004,3121,1879,1242,0.39795,12
295,G17003104409003,1056,1033,23,0.02178,32
1178,G17003100609002,0,0,0,,2
11,G17003104805001,1095,1019,76,0.06941,3
1573,G17003102207023,672,541,131,0.19494,3
1210,G17003107112004,1813,1813,0,0,27
882,G17003101801004,820,387,433,0.52805,5
834,G17003108311003,1968,1587,381,0.1936,3
1961,G17003101907012,1271,822,449,0.35327,1
1718,G17003101508005,601,375,226,0.37604,35
1222,G17003105305033,2068,2068,0,0,1
471,G17003102431002,532,395,137,0.25752,6
1125,G17003104205002,1078,1070,8,0.00742,8
1896,G17003107608034,1696,696,1000,0.58962,18
479,G17003100101003,2243,1794,449,0.20018,76
2213,G17003100505005,1215,1173,42,0.03457,1
284,G17003108399004,731,609,122,0.16689,5
512,G17003104909022,2017,1905,112,0.05553,9
1085,G17003105604001,1417,786,631,0.44531,11
57,G17003102924001,1229,1211,18,0.01465,3
239,G17003104401023,504,504,0,0,5
31,G17003104905001,972,932,40,0.04115,1
1584,G17003105203004,1483,1061,422,0.28456,1
1744,G17003101613001,782,504,278,0.3555,4
1592,G17003108413002,1392,809,583,0.41882,3
12,G17003102608002,1101,1101,0,0,2
1887,G17003102315003,464,464,0,0,2
2118,G17003100312002,1200,878,322,0.26833,159
324,G17003104601003,765,721,44,0.05752,65
2240,G17003100610001,1716,1513,203,0.1183,30
1964,G17003102004012,2860,2074,786,0.27483,4
424,G17003108080022,1286,717,569,0.44246,754
1437,G17003107004011,1595,1464,131,0.08213,14
408,G17003108106001,1467,1124,343,0.23381,2
1771,G17003101903004,1339,1031,308,0.23002,2
1809,G17003108311002,1364,874,490,0.35924,7
2133,G17003107302013,1136,1136,0,0,10
1479,G17003104307001,1523,1416,107,0.07026,9
1919,G17003104606001,1107,931,176,0.15899,10
918,G17003100629002,1146,1075,71,0.06195,2
1200,G17003102606002,1535,1525,10,0.00651,1
2145,G17003100321001,1593,1293,300,0.18832,11
1298,G17003103903001,1013,1013,0,0,6
1725,G17003100505002,1589,1512,77,0.04846,3
315,G17003102520002,2387,2387,0,0,3
234,G17003103018032,2399,1389,1010,0.42101,1
177,G17003104305003,960,960,0,0,11
1567,G17003101510023,1736,1117,619,0.35657,12
1841,G17003100105021,1222,885,337,0.27578,59
1598,G17003107608011,2561,1431,1130,0.44123,443
2031,G17003102426001,1291,1129,162,0.12548,1
843,G17003102312005,629,536,93,0.14785,1
1913,G17003100107024,1099,595,504,0.4586,70
346,G17003102522021,996,987,9,0.00904,1
1509,G17003108380001,918,795,123,0.13399,2
1451,G17003108374001,960,960,0,0,5
1394,G17003102212002,1734,1476,258,0.14879,4
2286,G17003100702001,2109,1828,281,0.13324,1
459,G17003108344002,1823,1724,99,0.05431,5
938,G17003103107001,1241,712,529,0.42627,29
274,G17003104408001,749,738,11,0.01469,3
1194,G17003100632005,714,641,73,0.10224,1
651,G17003108322002,1576,1291,285,0.18084,1
1878,G17003101203004,813,656,157,0.19311,12
851,G17003101407012,1131,668,463,0.40937,10
1219,G17003108348001,398,398,0,0,2
687,G17003107105002,1442,1411,31,0.0215,1
631,G17003102309002,1806,1534,272,0.15061,1
1407,G17003106503013,1405,1010,395,0.28114,1
1853,G17003101102001,1631,1109,522,0.32005,89
2199,G17003106915001,473,473,0,0,2
984,G17003105907001,1574,1071,503,0.31957,1
2070,G17003100306042,1143,828,315,0.27559,1
507,G17003108343006,1471,1471,0,0,1
1082,G17003104804005,592,592,0,0,1
2259,G17003100618001,1130,862,268,0.23717,1
2012,G17003106805002,855,813,42,0.04912,3
1955,G17003101406023,1236,623,613,0.49595,23
2234,G17003100512001,726,726,0,0,1
2101,G17003108425001,2375,2371,4,0.00168,2
2140,G17003100317001,2108,1606,502,0.23814,117
642,G17003107104004,802,802,0,0,1
1967,G17003106007002,1415,1053,362,0.25583,11
1359,G17003101605022,2064,1293,771,0.37355,38
770,G17003101607005,1089,556,533,0.48944,6
433,G17003108081002,2065,1665,400,0.1937,6
293,G17003104409001,622,622,0,0,3
1828,G17003108309001,1063,972,91,0.08561,6
543,G17003102604001,1567,1556,11,0.00702,5
1450,G17003108378001,2035,1904,131,0.06437,4
1449,G17003108430002,1434,1387,47,0.03278,1
869,G17003102403001,1402,1259,143,0.102,1
2037,G17003102434003,1106,829,277,0.25045,3
1780,G17003101904022,2703,1676,1027,0.37995,9
152,G17003105804004,442,233,209,0.47285,4
536,G17003100306011,772,509,263,0.34067,64
719,G17003106605001,1604,834,770,0.48005,8
475,G17003108342004,1307,1277,30,0.02295,3
5,G17003108387002,851,727,124,0.14571,4
1944,G17003104401013,519,495,24,0.04624,15
789,G17003100815002,1375,1170,205,0.14909,2
340,G17003102507005,1501,1384,117,0.07795,5
2000,G17003102406001,1340,1128,212,0.15821,3
661,G17003100601002,1101,1092,9,0.00817,3
2276,G17003107004021,979,790,189,0.19305,8
1321,G17003108325001,1517,1395,122,0.08042,1
1340,G17003103007003,1065,701,364,0.34178,1
2066,G17003108392001,244,244,0,0,28
1417,G17003108367001,1425,1405,20,0.01404,1
1766,G17003108316003,713,373,340,0.47686,5
1357,G17003101504023,1929,1426,503,0.26076,60
519,G17003100301031,813,557,256,0.31488,25
1834,G17003100812022,742,679,63,0.08491,1
846,G17003102315001,856,856,0,0,3
254,G17003105204004,695,401,294,0.42302,5
